ncr_id,source,date_opened,part_number,part_name,part_serial_number,lot_number,supplier_id,failed_feature,feature_name,gdandt_type,criticality,requirement,actual_result,deviation,tolerance,margin,severity,recommended_disposition,due_date,inspector,inspection_date,status,capa_required
NCR-DRAFT-5068,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0030,LOT-203,SUP-003,HOLE_4_POSITION,Hole 4 True Position,position,High,Hole 4 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.29807 mm,0.29807,0.2,-0.09807,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5069,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0030,LOT-203,SUP-003,MOUNTING_FACE_FLATNESS,Mounting Face Flatness,flatness,High,Mounting Face Flatness: ≤ 0.05 mm relative to Datum A,Measured: 0.0528 mm,0.0528,0.05,-0.0028,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5070,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0030,LOT-203,SUP-003,OPP_FACE_PARALLELISM,Opposite Face Parallelism to Datum A,parallelism,High,Opposite Face Parallelism to Datum A: ≤ 0.1 mm relative to Datum A,Measured: 0.1234 mm,0.1234,0.1,-0.0234,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5071,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0030,LOT-203,SUP-003,BRACKET_THICKNESS,Bracket Thickness,thickness,Medium,Bracket Thickness: 6.0 ± 0.1 mm,Measured: 6.1712 mm,0.1712,0.1,-0.0712,Minor,MRB Review,2026-06-18,QE-Patel,2024-04-05,Open,TBD
NCR-DRAFT-5072,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0031,LOT-204,SUP-003,HOLE_4_POSITION,Hole 4 True Position,position,High,Hole 4 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.283 mm,0.283,0.2,-0.083,Major,MRB Review,2026-06-11,QE-Nguyen,2024-05-20,Open,Yes
NCR-DRAFT-5073,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0032,LOT-204,SUP-003,HOLE_2_POSITION,Hole 2 True Position,position,High,Hole 2 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.20682 mm,0.20682,0.2,-0.00682,Major,MRB Review,2026-06-11,QE-Nguyen,2024-05-20,Open,Yes
NCR-DRAFT-5074,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0033,LOT-204,SUP-003,HOLE_4_POSITION,Hole 4 True Position,position,High,Hole 4 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.23584 mm,0.23584,0.2,-0.03584,Major,MRB Review,2026-06-11,QE-Nguyen,2024-05-20,Open,Yes
NCR-DRAFT-5075,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0034,LOT-204,SUP-003,HOLE_2_POSITION,Hole 2 True Position,position,High,Hole 2 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.27563 mm,0.27563,0.2,-0.07563,Major,MRB Review,2026-06-11,QE-Nguyen,2024-05-20,Open,Yes
NCR-DRAFT-5076,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0034,LOT-204,SUP-003,OPP_FACE_PARALLELISM,Opposite Face Parallelism to Datum A,parallelism,High,Opposite Face Parallelism to Datum A: ≤ 0.1 mm relative to Datum A,Measured: 0.1474 mm,0.1474,0.1,-0.0474,Major,MRB Review,2026-06-11,QE-Nguyen,2024-05-20,Open,Yes
NCR-DRAFT-5077,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0036,LOT-204,SUP-003,HOLE_2_POSITION,Hole 2 True Position,position,High,Hole 2 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.2367 mm,0.2367,0.2,-0.0367,Major,MRB Review,2026-06-11,QE-Nguyen,2024-05-20,Open,Yes
NCR-DRAFT-5078,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0037,LOT-204,SUP-003,HOLE_4_POSITION,Hole 4 True Position,position,High,Hole 4 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.21074 mm,0.21074,0.2,-0.01074,Major,MRB Review,2026-06-11,QE-Nguyen,2024-05-20,Open,Yes
NCR-DRAFT-5079,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0039,LOT-204,SUP-003,HOLE_1_POSITION,Hole 1 True Position,position,High,Hole 1 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.2597 mm,0.2597,0.2,-0.0597,Major,MRB Review,2026-06-11,QE-Nguyen,2024-05-20,Open,Yes
NCR-DRAFT-5080,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0040,LOT-204,SUP-003,HOLE_2_POSITION,Hole 2 True Position,position,High,Hole 2 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.22517 mm,0.22517,0.2,-0.02517,Major,MRB Review,2026-06-11,QE-Nguyen,2024-05-20,Open,Yes
NCR-DRAFT-5081,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0040,LOT-204,SUP-003,HOLE_4_POSITION,Hole 4 True Position,position,High,Hole 4 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.24946 mm,0.24946,0.2,-0.04946,Major,MRB Review,2026-06-11,QE-Nguyen,2024-05-20,Open,Yes
NCR-DRAFT-5082,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0041,LOT-205,SUP-003,MOUNTING_FACE_FLATNESS,Mounting Face Flatness,flatness,High,Mounting Face Flatness: ≤ 0.05 mm relative to Datum A,Measured: 0.0506 mm,0.0506,0.05,-0.0006,Major,MRB Review,2026-06-11,QE-Nguyen,2024-06-18,Open,Yes
NCR-DRAFT-5083,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0042,LOT-205,SUP-003,HOLE_4_POSITION,Hole 4 True Position,position,High,Hole 4 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.26368 mm,0.26368,0.2,-0.06368,Major,MRB Review,2026-06-11,QE-Nguyen,2024-06-18,Open,Yes
NCR-DRAFT-5084,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0042,LOT-205,SUP-003,MOUNTING_FACE_FLATNESS,Mounting Face Flatness,flatness,High,Mounting Face Flatness: ≤ 0.05 mm relative to Datum A,Measured: 0.0626 mm,0.0626,0.05,-0.0126,Major,MRB Review,2026-06-11,QE-Nguyen,2024-06-18,Open,Yes
NCR-DRAFT-5085,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0042,LOT-205,SUP-003,MOTOR_BORE_PERP,Motor Bore Perpendicularity to Datum A,perpendicularity,High,Motor Bore Perpendicularity to Datum A: ≤ 0.15 mm relative to Datum A,Measured: 0.189 mm,0.189,0.15,-0.039,Major,MRB Review,2026-06-11,QE-Nguyen,2024-06-18,Open,Yes
NCR-DRAFT-5086,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0045,LOT-205,SUP-003,HOLE_3_POSITION,Hole 3 True Position,position,High,Hole 3 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.25518 mm,0.25518,0.2,-0.05518,Major,MRB Review,2026-06-11,QE-Nguyen,2024-06-18,Open,Yes
NCR-DRAFT-5087,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0047,LOT-205,SUP-003,HOLE_4_POSITION,Hole 4 True Position,position,High,Hole 4 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.38283 mm,0.38283,0.2,-0.18283,Major,MRB Review,2026-06-11,QE-Nguyen,2024-06-18,Open,Yes
NCR-DRAFT-5088,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0050,LOT-205,SUP-003,HOLE_DIAMETER,Bolt Hole Diameter,diameter,High,Bolt Hole Diameter: 5.0 ± 0.05 mm,Measured: 4.9443 mm,0.0557,0.05,-0.0057,Major,MRB Review,2026-06-11,QE-Nguyen,2024-06-18,Open,Yes
